search_board_type Mt.Jade
./sshpass -p Ampere@4655 ssh -o StrictHostKeyChecking=no -t amplab@10.38.162.2 'ipmitool -H 10.38.162.44 -U ADMIN -P ADMIN  sel list'
Pseudo-terminal will not be allocated because stdin is not a terminal.
   1 | 04/27/2021 | 10:42:20 | Power Supply #0xf8 | Presence detected | Deasserted
   2 | 04/27/2021 | 11:07:58 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
   3 | 04/27/2021 | 11:07:58 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
   4 | 04/27/2021 | 11:11:36 | OEM record c0 | 00cd3a | cbe570ffffff
   5 | 04/27/2021 | 11:11:53 | OEM record c0 | 00cd3a | cbe57001ffff
   6 | 04/27/2021 | 11:11:53 | System ACPI Power State #0x7a | S0/G0: working | Asserted
   7 | 04/27/2021 | 11:11:53 | System ACPI Power State #0x8a | S0/G0: working | Asserted
   8 | 04/27/2021 | 11:11:53 | OEM record c0 | 00cd3a | 0feb70020000
   9 | 04/27/2021 | 11:11:53 | OEM record c0 | 00cd3a | ca8f7101ffff
   a | 04/27/2021 | 11:11:54 | OEM record c0 | 00cd3a | ca907101ffff
   b | 04/27/2021 | 11:11:54 | OEM record c0 | 00cd3a | 0feb70120000
   c | 04/27/2021 | 11:11:54 | OEM record c0 | 00cd3a | ca8ff101ffff
   d | 04/27/2021 | 11:11:55 | OEM record c0 | 00cd3a | ca90f101ffff
   e | 04/27/2021 | 11:18:56 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
   f | 04/27/2021 | 11:18:56 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  10 | 04/27/2021 | 11:19:31 | OEM record c0 | 00cd3a | cbe570ffffff
  11 | 04/27/2021 | 11:19:48 | OEM record c0 | 00cd3a | cbe57001ffff
  12 | 04/27/2021 | 11:19:48 | OEM record c0 | 00cd3a | ca8f7101ffff
  13 | 04/27/2021 | 11:19:48 | OEM record c0 | 00cd3a | ca907101ffff
  14 | 04/27/2021 | 11:19:49 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  15 | 04/27/2021 | 11:19:49 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  16 | 04/27/2021 | 11:19:49 | OEM record c0 | 00cd3a | 0feb70020000
  17 | 04/27/2021 | 11:19:49 | OEM record c0 | 00cd3a | ca8ff101ffff
  18 | 04/27/2021 | 11:19:49 | OEM record c0 | 00cd3a | ca90f101ffff
