hostuser root
hostpass root
search_board_type Mt.Snow
Pseudo-terminal will not be allocated because stdin is not a terminal.
   1 | 04/01/2021 | 20:19:29 | Event Logging Disabled #0xe1 | Log area reset/cleared | Asserted
   2 | 04/01/2021 | 20:20:04 | System Event | OEM System boot event | Asserted
   3 | 04/01/2021 | 20:20:13 | OS Boot #0x22 | boot completed - device not specified | Asserted
   4 | 04/01/2021 | 20:41:48 | Power Unit #0xff | Power off/down | Asserted
   5 | 04/01/2021 | 20:47:36 | OEM record c1 | 000000 | 06980a260d66
   6 | 04/01/2021 | 20:47:42 | OEM record c1 | 000000 | 06980a260d66
   7 | 04/01/2021 | 20:47:48 | OEM record c1 | 000000 | 06980a260d66
   8 | 04/01/2021 | 20:48:09 | OEM record c1 | 000000 | 06980a260d66
   9 | 04/01/2021 | 20:49:21 | System Event | Timestamp Clock Sync | Asserted
   a | 04/01/2021 | 20:49:21 | System Event #0xff | Timestamp Clock Sync | Asserted
   b | 04/26/2021 | 07:50:15 | System Event #0xff | Timestamp Clock Sync | Asserted
   c | 04/26/2021 | 07:50:16 | System Event | Timestamp Clock Sync | Asserted
   d | 04/26/2021 | 07:51:04 | System Event | OEM System boot event | Asserted
   e | 04/26/2021 | 07:51:13 | OS Boot #0x22 | boot completed - device not specified | Asserted
   f | 04/26/2021 | 07:52:18 | Power Unit #0xff | Power off/down | Asserted
  10 | 04/26/2021 | 07:52:40 | OEM record c1 | 000000 | 06980a260d66
  11 | 04/26/2021 | 07:52:46 | OEM record c1 | 000000 | 06980a260d66
  12 | 04/26/2021 | 07:52:53 | OEM record c1 | 000000 | 06980a260d66
  13 | 04/26/2021 | 07:53:13 | OEM record c1 | 000000 | 06980a260d66
  14 | 04/26/2021 | 07:54:24 | System Event | OEM System boot event | Asserted
  15 | 04/26/2021 | 07:54:34 | OS Boot #0x22 | boot completed - device not specified | Asserted
  16 | 04/26/2021 | 07:55:39 | Power Unit #0xff | Power off/down | Asserted
  17 | 04/26/2021 | 07:57:18 | OEM record c1 | 000000 | 06980a260d66
  18 | 04/26/2021 | 07:57:24 | OEM record c1 | 000000 | 06980a260d66
  19 | 04/26/2021 | 07:57:29 | OEM record c1 | 000000 | 06980a260d66
  1a | 04/26/2021 | 07:57:46 | OEM record c1 | 000000 | 06980a260d66
  1b | 04/26/2021 | 07:58:56 | System Event | OEM System boot event | Asserted
  1c | 04/26/2021 | 07:59:06 | OS Boot #0x22 | boot completed - device not specified | Asserted
  1d | 04/26/2021 | 08:00:07 | Power Unit #0xff | Power off/down | Asserted
  1e | 04/26/2021 | 08:00:25 | OEM record c1 | 000000 | 06980a260d66
  1f | 04/26/2021 | 08:00:33 | OEM record c1 | 000000 | 06980a260d66
  20 | 04/26/2021 | 08:00:40 | OEM record c1 | 000000 | 06980a260d66
  21 | 04/26/2021 | 08:00:58 | OEM record c1 | 000000 | 06980a260d66
  22 | 04/26/2021 | 08:02:12 | System Event | OEM System boot event | Asserted
  23 | 04/26/2021 | 08:02:22 | OS Boot #0x22 | boot completed - device not specified | Asserted
  24 | 04/26/2021 | 08:03:25 | Power Unit #0xff | Power off/down | Asserted
  25 | 04/26/2021 | 08:03:44 | OEM record c1 | 000000 | 06980a260d66
  26 | 04/26/2021 | 08:03:51 | OEM record c1 | 000000 | 06980a260d66
  27 | 04/26/2021 | 08:03:57 | OEM record c1 | 000000 | 06980a260d66
  28 | 04/26/2021 | 08:04:18 | OEM record c1 | 000000 | 06980a260d66
  29 | 04/26/2021 | 08:05:29 | System Event | OEM System boot event | Asserted
  2a | 04/26/2021 | 08:05:39 | OS Boot #0x22 | boot completed - device not specified | Asserted
  2b | 04/26/2021 | 08:07:58 | Power Unit #0xff | Power off/down | Asserted
  2c | 04/26/2021 | 08:08:22 | OEM record c1 | 000000 | 06980a260d66
  2d | 04/26/2021 | 08:08:29 | OEM record c1 | 000000 | 06980a260d66
  2e | 04/26/2021 | 08:08:35 | OEM record c1 | 000000 | 06980a260d66
  2f | 04/26/2021 | 08:08:56 | OEM record c1 | 000000 | 06980a260d66
  30 | 04/26/2021 | 08:10:06 | System Event | OEM System boot event | Asserted
  31 | 04/26/2021 | 08:10:16 | OS Boot #0x22 | boot completed - device not specified | Asserted
  32 | 04/26/2021 | 08:11:20 | Power Unit #0xff | Power off/down | Asserted
  33 | 04/26/2021 | 08:11:39 | OEM record c1 | 000000 | 06980a260d66
  34 | 04/26/2021 | 08:11:46 | OEM record c1 | 000000 | 06980a260d66
  35 | 04/26/2021 | 08:11:52 | OEM record c1 | 000000 | 06980a260d66
  36 | 04/26/2021 | 08:12:11 | OEM record c1 | 000000 | 06980a260d66
  37 | 04/26/2021 | 08:13:23 | System Event | OEM System boot event | Asserted
  38 | 04/26/2021 | 08:13:33 | OS Boot #0x22 | boot completed - device not specified | Asserted
  39 | 04/26/2021 | 08:14:39 | Power Unit #0xff | Power off/down | Asserted
  3a | 04/26/2021 | 08:15:01 | OEM record c1 | 000000 | 06980a260d66
  3b | 04/26/2021 | 08:15:08 | OEM record c1 | 000000 | 06980a260d66
  3c | 04/26/2021 | 08:15:14 | OEM record c1 | 000000 | 06980a260d66
  3d | 04/26/2021 | 08:15:34 | OEM record c1 | 000000 | 06980a260d66
  3e | 04/26/2021 | 08:16:45 | System Event | OEM System boot event | Asserted
  3f | 04/26/2021 | 08:16:55 | OS Boot #0x22 | boot completed - device not specified | Asserted
  40 | 04/26/2021 | 09:11:22 | OEM record c1 | 000000 | 06000a260d66
  41 | 04/26/2021 | 09:14:23 | Power Unit #0xff | Power off/down | Asserted
  42 | 04/26/2021 | 09:14:44 | OEM record c1 | 000000 | 06980a260d66
  43 | 04/26/2021 | 09:14:51 | OEM record c1 | 000000 | 06980a260d66
  44 | 04/26/2021 | 09:14:57 | OEM record c1 | 000000 | 06980a260d66
  45 | 04/26/2021 | 09:15:18 | OEM record c1 | 000000 | 06980a260d66
  46 | 04/26/2021 | 09:16:29 | System Event | OEM System boot event | Asserted
  47 | 04/26/2021 | 09:16:39 | OS Boot #0x22 | boot completed - device not specified | Asserted
  48 | 04/26/2021 | 09:17:49 | Power Unit #0xff | Power off/down | Asserted
  49 | 04/26/2021 | 09:18:10 | OEM record c1 | 000000 | 06980a260d66
  4a | 04/26/2021 | 09:18:18 | OEM record c1 | 000000 | 06980a260d66
  4b | 04/26/2021 | 09:18:23 | OEM record c1 | 000000 | 06980a260d66
  4c | 04/26/2021 | 09:18:45 | OEM record c1 | 000000 | 06980a260d66
  4d | 04/26/2021 | 09:19:56 | System Event | OEM System boot event | Asserted
  4e | 04/26/2021 | 09:20:05 | OS Boot #0x22 | boot completed - device not specified | Asserted
  4f | 04/26/2021 | 09:21:19 | Power Unit #0xff | Power off/down | Asserted
  50 | 04/26/2021 | 09:21:39 | OEM record c1 | 000000 | 06980a260d66
  51 | 04/26/2021 | 09:21:46 | OEM record c1 | 000000 | 06980a260d66
  52 | 04/26/2021 | 09:21:52 | OEM record c1 | 000000 | 06980a260d66
  53 | 04/26/2021 | 09:22:13 | OEM record c1 | 000000 | 06980a260d66
  54 | 04/26/2021 | 09:23:23 | System Event | OEM System boot event | Asserted
  55 | 04/26/2021 | 09:23:33 | OS Boot #0x22 | boot completed - device not specified | Asserted
  56 | 04/26/2021 | 09:24:46 | Power Unit #0xff | Power off/down | Asserted
  57 | 04/26/2021 | 09:25:07 | OEM record c1 | 000000 | 06980a260d66
  58 | 04/26/2021 | 09:25:14 | OEM record c1 | 000000 | 06980a260d66
  59 | 04/26/2021 | 09:25:20 | OEM record c1 | 000000 | 06980a260d66
  5a | 04/26/2021 | 09:25:41 | OEM record c1 | 000000 | 06980a260d66
  5b | 04/26/2021 | 09:26:51 | System Event | OEM System boot event | Asserted
  5c | 04/26/2021 | 09:27:01 | OS Boot #0x22 | boot completed - device not specified | Asserted
  5d | 04/26/2021 | 09:28:13 | OEM record c1 | 000000 | 06980a260d66
  5e | 04/26/2021 | 09:28:19 | OEM record c1 | 000000 | 06980a260d66
  5f | 04/26/2021 | 09:28:26 | OEM record c1 | 000000 | 06980a260d66
  60 | 04/26/2021 | 09:28:43 | Power Unit #0xff | Power off/down | Asserted
  61 | 04/26/2021 | 09:29:08 | OEM record c1 | 000000 | 06980a260d66
  62 | 04/26/2021 | 09:29:15 | OEM record c1 | 000000 | 06980a260d66
  63 | 04/26/2021 | 09:29:21 | OEM record c1 | 000000 | 06980a260d66
  64 | 04/26/2021 | 09:29:43 | OEM record c1 | 000000 | 06980a260d66
  65 | 04/26/2021 | 09:30:53 | System Event | OEM System boot event | Asserted
  66 | 04/26/2021 | 09:31:03 | OS Boot #0x22 | boot completed - device not specified | Asserted
  67 | 04/26/2021 | 09:32:16 | Power Unit #0xff | Power off/down | Asserted
  68 | 04/26/2021 | 09:32:34 | OEM record c1 | 000000 | 06980a260d66
  69 | 04/26/2021 | 09:32:42 | OEM record c1 | 000000 | 06980a260d66
  6a | 04/26/2021 | 09:32:50 | OEM record c1 | 000000 | 06980a260d66
  6b | 04/26/2021 | 09:33:10 | OEM record c1 | 000000 | 06980a260d66
  6c | 04/26/2021 | 09:34:19 | System Event | OEM System boot event | Asserted
  6d | 04/26/2021 | 09:34:27 | OEM record c1 | 000000 | 06980a263756
  6e | 04/26/2021 | 09:34:29 | OS Boot #0x22 | boot completed - device not specified | Asserted
  6f | 04/26/2021 | 09:34:36 | OEM record c1 | 000000 | 06980a263756
  70 | 04/26/2021 | 09:34:42 | OEM record c1 | 000000 | 06980a263756
  71 | 04/26/2021 | 10:46:41 | OEM record c1 | 000000 | 06980a263756
  72 | 04/26/2021 | 10:46:49 | OEM record c1 | 000000 | 06980a263756
  73 | 04/26/2021 | 10:46:55 | OEM record c1 | 000000 | 06980a263756
  74 | 04/26/2021 | 11:55:51 | OEM record c1 | 000000 | 06980a263756
  75 | 04/26/2021 | 11:55:59 | OEM record c1 | 000000 | 06980a263756
  76 | 04/26/2021 | 11:56:04 | OEM record c1 | 000000 | 06980a263756
  77 | 04/26/2021 | 11:57:07 | OEM record c1 | 000000 | 06980a263756
  78 | 04/26/2021 | 11:57:15 | OEM record c1 | 000000 | 06980a263756
  79 | 04/26/2021 | 11:57:21 | OEM record c1 | 000000 | 06980a263756
  7a | 04/26/2021 | 11:57:37 | OEM record c1 | 000000 | 06980a263756
  7b | 04/26/2021 | 11:58:20 | OEM record c1 | 000000 | 06980a263756
  7c | 04/26/2021 | 11:58:27 | OEM record c1 | 000000 | 06980a263756
  7d | 04/26/2021 | 11:58:33 | OEM record c1 | 000000 | 06980a263756
  7e | 04/26/2021 | 12:00:09 | OEM record c1 | 000000 | 06000a263756
  7f | 04/26/2021 | 12:04:05 | OEM record c1 | 000000 | 06000a263756
  80 | 04/26/2021 | 12:07:00 | Power Unit #0xff | Power off/down | Asserted
