search_board_type Mt.Jade
Pseudo-terminal will not be allocated because stdin is not a terminal.
   1 | 04/15/2021 | 22:57:51 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
   2 | 04/15/2021 | 22:57:52 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
   3 | 04/15/2021 | 23:02:43 | OEM record c0 | 00cd3a | ca907105ffff
   4 | 04/15/2021 | 23:02:44 | System ACPI Power State #0x7a | S0/G0: working | Asserted
   5 | 04/15/2021 | 23:02:44 | System ACPI Power State #0x8a | S0/G0: working | Asserted
   6 | 04/15/2021 | 23:02:44 | OEM record c0 | 00cd3a | 0feb70020000
   7 | 04/15/2021 | 23:02:44 | OEM record c0 | 00cd3a | ca8f7101ffff
   8 | 04/15/2021 | 23:02:44 | OEM record c0 | 00cd3a | ca90f105ffff
   9 | 04/15/2021 | 23:02:45 | OEM record c0 | 00cd3a | 0feb70120000
   a | 04/15/2021 | 23:02:45 | OEM record c0 | 00cd3a | ca8ff101ffff
   b | 04/15/2021 | 23:07:14 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
   c | 04/15/2021 | 23:07:14 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
   d | 04/15/2021 | 23:07:37 | OEM record c0 | 00cd3a | 0feb70020000
   e | 04/15/2021 | 23:07:37 | OEM record c0 | 00cd3a | ca8f7103ffff
   f | 04/15/2021 | 23:07:37 | OEM record c0 | 00cd3a | ca8f7114ffff
  10 | 04/15/2021 | 23:07:38 | OEM record c0 | 00cd3a | 0feb70120000
  11 | 04/15/2021 | 23:07:38 | OEM record c0 | 00cd3a | ca8ff103ffff
  12 | 04/15/2021 | 23:07:38 | OEM record c0 | 00cd3a | ca8ff114ffff
  13 | 04/15/2021 | 23:07:49 | OEM record c0 | 040061 | cae36f00ffff
  14 | 04/15/2021 | 23:07:49 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  15 | 04/15/2021 | 23:08:11 | OEM record c0 | 00cd3a | ca8f7103ffff
  16 | 04/15/2021 | 23:08:11 | OEM record c0 | 00cd3a | ca8f7114ffff
  17 | 04/15/2021 | 23:08:12 | OEM record c0 | 00cd3a | ca8ff103ffff
  18 | 04/15/2021 | 23:08:12 | OEM record c0 | 00cd3a | ca8ff114ffff
  19 | 04/15/2021 | 23:08:21 | OEM record c0 | 040061 | cae36f00ffff
  1a | 04/15/2021 | 23:08:21 | System Boot Initiated #0xdc | OS initiated hard reset | Asserted
