search_board_type Mt.Jade
Pseudo-terminal will not be allocated because stdin is not a terminal.
   1 | 04/27/2021 | 05:09:48 | Power Supply #0xf7 | Presence detected | Deasserted
   2 | 04/27/2021 | 05:37:00 | Fan #0x1d | Lower Non-recoverable going low  | Asserted
   3 | 04/27/2021 | 05:37:00 | Fan #0x1e | Lower Non-recoverable going low  | Asserted
   4 | 04/27/2021 | 05:37:00 | Fan #0x23 | Lower Non-recoverable going low  | Asserted
   5 | 04/27/2021 | 05:37:00 | Fan #0x24 | Lower Non-recoverable going low  | Asserted
   6 | 04/27/2021 | 05:37:00 | Fan #0x2d | State Asserted | Asserted
   7 | 04/27/2021 | 05:37:00 | Fan #0x2e | State Asserted | Asserted
   8 | 04/27/2021 | 05:37:00 | Fan #0x33 | State Asserted | Asserted
   9 | 04/27/2021 | 05:37:01 | Fan #0x34 | State Asserted | Asserted
   a | 04/27/2021 | 05:37:01 | Fan #0x3d | Device Absent | Asserted
   b | 04/27/2021 | 05:37:01 | Fan #0x3e | Device Absent | Asserted
   c | 04/27/2021 | 05:37:01 | Fan #0x43 | Device Absent | Asserted
   d | 04/27/2021 | 05:37:01 | Fan #0x44 | Device Absent | Asserted
   e | 04/27/2021 | 05:44:13 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
   f | 04/27/2021 | 05:44:13 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  10 | 04/27/2021 | 05:46:59 | OEM record c0 | 00cd3a | ca907101ffff
  11 | 04/27/2021 | 05:47:00 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  12 | 04/27/2021 | 05:47:00 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  13 | 04/27/2021 | 05:47:00 | OEM record c0 | 00cd3a | 0feb70020000
  14 | 04/27/2021 | 05:47:00 | OEM record c0 | 00cd3a | ca8f7101ffff
  15 | 04/27/2021 | 05:47:00 | OEM record c0 | 00cd3a | ca90f101ffff
  16 | 04/27/2021 | 05:47:01 | OEM record c0 | 00cd3a | 0feb70120000
  17 | 04/27/2021 | 05:47:01 | OEM record c0 | 00cd3a | ca8ff101ffff
  18 | 04/27/2021 | 05:47:27 | OEM record c0 | 00cd3a | 0feb70220000
  19 | 04/27/2021 | 05:47:28 | OEM record c0 | 00cd3a | 0feb70320000
  1a | 04/27/2021 | 05:47:30 | OEM record c0 | 00cd3a | 0feb70520000
  1b | 04/27/2021 | 05:48:31 | OEM record c0 | 00cd3a | 0feb70620000
  1c | 04/27/2021 | 05:48:56 | OEM record c0 | 00cd3a | 0feb70820000
  1d | 04/27/2021 | 05:48:56 | System Firmwares #0xe4 | System boot initiated | Asserted
