Host 10.38.175.43 not found in /home/amcclab/.ssh/known_hosts
search_board_type Mt.Jade
./sshpass -p amcc1234 ssh -o StrictHostKeyChecking=no -t amcclab@10.38.175.31 'ipmitool -H 10.38.175.43 -U ADMIN -P ADMIN  sel list'
Pseudo-terminal will not be allocated because stdin is not a terminal.
   1 | 04/26/2021 | 07:13:21 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
   2 | 04/26/2021 | 07:13:21 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
   3 | 04/26/2021 | 07:16:01 | System ACPI Power State #0x7a | S0/G0: working | Asserted
   4 | 04/26/2021 | 07:16:01 | System ACPI Power State #0x8a | S0/G0: working | Asserted
   5 | 04/26/2021 | 07:16:02 | OEM record c0 | 00cd3a | 0feb70020000
   6 | 04/26/2021 | 07:16:03 | OEM record c0 | 00cd3a | 0feb70120000
   7 | 04/26/2021 | 07:16:21 | OEM record c0 | 00cd3a | 0feb70220000
   8 | 04/26/2021 | 07:16:21 | OEM record c0 | 00cd3a | 0feb70320000
   9 | 04/26/2021 | 07:16:23 | OEM record c0 | 00cd3a | 0feb70520000
   a | 04/26/2021 | 07:16:24 | OEM record c0 | 00cd3a | 0feb70620000
   b | 04/26/2021 | 07:16:49 | OEM record c0 | 00cd3a | 0feb70820000
   c | 04/26/2021 | 07:16:49 | System Firmwares #0xe4 | System boot initiated | Asserted
   d | 04/26/2021 | 07:25:00 | System Boot Initiated #0xdc | System Restart | Asserted
   e | 04/26/2021 | 07:25:01 | OEM record c0 | 00cd3a | 0feb70020000
   f | 04/26/2021 | 07:25:01 | OEM record c0 | 00cd3a | 0feb70120000
  10 | 04/26/2021 | 07:25:20 | OEM record c0 | 00cd3a | 0feb70220000
  11 | 04/26/2021 | 07:25:20 | OEM record c0 | 00cd3a | 0feb70320000
  12 | 04/26/2021 | 07:25:22 | OEM record c0 | 00cd3a | 0feb70520000
  13 | 04/26/2021 | 07:25:23 | OEM record c0 | 00cd3a | 0feb70620000
  14 | 04/26/2021 | 07:25:49 | OEM record c0 | 00cd3a | 0feb70820000
  15 | 04/26/2021 | 07:25:49 | System Firmwares #0xe4 | System boot initiated | Asserted
  16 | 04/26/2021 | 07:31:25 | System Boot Initiated #0xdc | System Restart | Asserted
  17 | 04/26/2021 | 07:31:25 | OEM record c0 | 00cd3a | 0feb70020000
  18 | 04/26/2021 | 07:31:26 | OEM record c0 | 00cd3a | 0feb70120000
  19 | 04/26/2021 | 07:31:45 | OEM record c0 | 00cd3a | 0feb70220000
  1a | 04/26/2021 | 07:31:46 | OEM record c0 | 00cd3a | 0feb70320000
  1b | 04/26/2021 | 07:31:48 | OEM record c0 | 00cd3a | 0feb70520000
  1c | 04/26/2021 | 07:31:49 | OEM record c0 | 00cd3a | 0feb70620000
  1d | 04/26/2021 | 07:32:15 | OEM record c0 | 00cd3a | 0feb70820000
  1e | 04/26/2021 | 07:32:15 | System Firmwares #0xe4 | System boot initiated | Asserted
  1f | 04/26/2021 | 23:38:31 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  20 | 04/26/2021 | 23:38:31 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  21 | 04/26/2021 | 23:46:19 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  22 | 04/26/2021 | 23:46:19 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  23 | 04/26/2021 | 23:46:20 | OEM record c0 | 00cd3a | 0feb70020000
  24 | 04/26/2021 | 23:46:20 | OEM record c0 | 00cd3a | 0feb70120000
  25 | 04/26/2021 | 23:46:38 | OEM record c0 | 00cd3a | 0feb70220000
  26 | 04/26/2021 | 23:46:40 | OEM record c0 | 00cd3a | 0feb70320000
  27 | 04/26/2021 | 23:46:41 | OEM record c0 | 00cd3a | 0feb70520000
  28 | 04/26/2021 | 23:46:42 | OEM record c0 | 00cd3a | 0feb70620000
  29 | 04/26/2021 | 23:47:08 | OEM record c0 | 00cd3a | 0feb70820000
  2a | 04/26/2021 | 23:47:08 | System Firmwares #0xe4 | System boot initiated | Asserted
  2b | 04/26/2021 | 23:48:07 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  2c | 04/26/2021 | 23:48:07 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  2d | 04/26/2021 | 23:48:40 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  2e | 04/26/2021 | 23:48:40 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  2f | 04/26/2021 | 23:48:40 | OEM record c0 | 00cd3a | 0feb70020000
  30 | 04/26/2021 | 23:48:41 | OEM record c0 | 00cd3a | 0feb70120000
  31 | 04/26/2021 | 23:48:43 | Voltage #0x75 | Lower Non-recoverable going low  | Asserted
  32 | 04/26/2021 | 23:48:43 | Voltage #0x76 | Lower Non-recoverable going low  | Asserted
  33 | 04/26/2021 | 23:48:43 | Voltage #0x85 | Lower Non-recoverable going low  | Asserted
  34 | 04/26/2021 | 23:48:43 | Voltage #0x86 | Lower Non-recoverable going low  | Asserted
  35 | 04/26/2021 | 23:48:45 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  36 | 04/26/2021 | 23:48:45 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  37 | 04/26/2021 | 23:49:39 | OEM record c0 | 00cd3a | 0feb70020000
  38 | 04/26/2021 | 23:49:39 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  39 | 04/26/2021 | 23:49:39 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  3a | 04/26/2021 | 23:49:40 | OEM record c0 | 00cd3a | 0feb70120000
  3b | 04/26/2021 | 23:52:21 | System Firmwares #0xe4 | Unspecified | Asserted
  3c | 04/26/2021 | 23:52:21 | OEM record c0 | 00cd3a | 0feb70230000
  3d | 04/26/2021 | 23:52:29 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  3e | 04/26/2021 | 23:52:29 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  3f | 04/26/2021 | 23:53:14 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  40 | 04/26/2021 | 23:53:14 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  41 | 04/26/2021 | 23:53:15 | OEM record c0 | 00cd3a | 0feb70020000
  42 | 04/26/2021 | 23:53:16 | OEM record c0 | 00cd3a | 0feb70120000
  43 | 04/26/2021 | 23:55:57 | System Firmwares #0xe4 | Unspecified | Asserted
  44 | 04/26/2021 | 23:55:57 | OEM record c0 | 00cd3a | 0feb70230000
  45 | 04/26/2021 | 23:56:05 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  46 | 04/26/2021 | 23:56:05 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  47 | 04/26/2021 | 23:56:52 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  48 | 04/26/2021 | 23:56:52 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  49 | 04/26/2021 | 23:56:52 | OEM record c0 | 00cd3a | 0feb70020000
  4a | 04/26/2021 | 23:56:53 | OEM record c0 | 00cd3a | 0feb70120000
  4b | 04/26/2021 | 23:59:35 | System Firmwares #0xe4 | Unspecified | Asserted
  4c | 04/26/2021 | 23:59:35 | OEM record c0 | 00cd3a | 0feb70230000
  4d | 04/27/2021 | 00:02:37 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  4e | 04/27/2021 | 00:02:37 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  4f | 04/27/2021 | 00:03:52 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  50 | 04/27/2021 | 00:03:52 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  51 | 04/27/2021 | 00:03:52 | OEM record c0 | 00cd3a | 0feb70020000
  52 | 04/27/2021 | 00:03:53 | OEM record c0 | 00cd3a | 0feb70120000
  53 | 04/27/2021 | 00:14:10 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  54 | 04/27/2021 | 00:14:10 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  55 | 04/27/2021 | 00:14:56 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  56 | 04/27/2021 | 00:14:56 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  57 | 04/27/2021 | 00:14:56 | OEM record c0 | 00cd3a | 0feb70020000
  58 | 04/27/2021 | 00:14:57 | OEM record c0 | 00cd3a | 0feb70120000
  59 | 04/27/2021 | 00:26:35 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  5a | 04/27/2021 | 00:26:35 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  5b | 04/27/2021 | 00:27:20 | System ACPI Power State #0x7a | S0/G0: working | Asserted
  5c | 04/27/2021 | 00:27:20 | System ACPI Power State #0x8a | S0/G0: working | Asserted
  5d | 04/27/2021 | 00:27:21 | OEM record c0 | 00cd3a | 0feb70020000
  5e | 04/27/2021 | 00:27:21 | OEM record c0 | 00cd3a | 0feb70120000
  5f | 04/28/2021 | 10:15:50 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  60 | 04/28/2021 | 10:15:50 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  61 | 04/28/2021 | 10:18:40 | OEM record c0 | 00cd3a | ca907112ffff
  62 | 04/28/2021 | 10:18:41 | OEM record c0 | 00cd3a | ca90f112ffff
  63 | 04/28/2021 | 10:18:48 | OEM record c0 | 040061 | cae26f00ffff
  64 | 04/28/2021 | 10:20:28 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  65 | 04/28/2021 | 10:20:28 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  66 | 04/28/2021 | 10:21:17 | OEM record c0 | 00cd3a | ca907112ffff
  67 | 04/28/2021 | 10:21:18 | OEM record c0 | 00cd3a | ca90f112ffff
  68 | 04/28/2021 | 10:21:25 | OEM record c0 | 040061 | cae26f00ffff
  69 | 04/28/2021 | 10:23:04 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  6a | 04/28/2021 | 10:23:04 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  6b | 04/28/2021 | 10:23:54 | OEM record c0 | 00cd3a | ca907112ffff
  6c | 04/28/2021 | 10:23:55 | OEM record c0 | 00cd3a | ca90f112ffff
  6d | 04/28/2021 | 10:24:02 | OEM record c0 | 040061 | cae26f00ffff
  6e | 04/28/2021 | 22:41:57 | OEM record c0 | 00cd3a | ca907112ffff
  6f | 04/28/2021 | 22:41:58 | OEM record c0 | 00cd3a | ca90f112ffff
  70 | 04/28/2021 | 22:42:03 | OEM record c0 | 040061 | cae26f00ffff
  71 | 04/28/2021 | 22:42:05 | System ACPI Power State #0x7a | S5/G2: soft-off | Asserted
  72 | 04/28/2021 | 22:42:05 | System ACPI Power State #0x8a | S5/G2: soft-off | Asserted
  73 | 04/28/2021 | 22:42:31 | OEM record c0 | 00cd3a | ca907112ffff
